#,Name,%Complete,AvgTime,Std,NoObs
0,Navforest_1,96.8,577.460743801653,59.3681477843766,457
1,Follow the Forest Gap,99,431.40303030303,45.2458624807324,373
2,Oracle Path Follower,99.8,381.672344689379,18.9555396039464,372
3,ModForest_1,90.1,607.447280799112,96.3764627976986,380
,,,,,
,,,,,
#,Name,%Complete,AvgTime,Std,NoObs
0,Navforest_1,96.8,5.77,59.3681477843766,4.57
1,Follow the Forest Gap,99,4.31,45.2458624807324,3.73
2,Oracle Path Follower,99.8,3.82,18.9555396039464,3.72
3,ModForest_1,90.1,6.07,96.3764627976986,3.8
