#,Name,%Complete,AvgTime,Std,NoObs
0,ModRepeat_forest_0,92.8,606.540948275862,78.228558563755,447
1,ModRepeat_forest_1,94,522.789361702128,56.2420518603733,374
2,ModRepeat_forest_2,87.3,562.26116838488,84.5412148862461,385
3,ModRepeat_forest_3,92.1,598.880564603692,78.3997860443413,454
4,ModRepeat_forest_4,89.9,596.842046718576,85.2583169696432,439
5,ModRepeat_forest_5,91.9,552.384113166485,73.4983393330357,378
6,ModRepeat_forest_6,92.6,633.281857451404,80.3287618056182,498
7,ModRepeat_forest_7,91,736.173626373626,88.2597849198725,942
8,ModRepeat_forest_8,88.5,661.68813559322,112.015696667538,425
9,ModRepeat_forest_9,95.5,580.161256544503,60.2235726968165,372
,,,,,
,,91.56,605.100307881438,,471.4
,,,6.05100307881438,,4.714
